relative_path,source_group,file_name,extension,file_size_bytes,sha256,is_duplicate,duplicate_of,title,document_type,section_count,char_count,line_count,has_title,is_too_short
JE_md\5815EN-3_maintenance_rag_ko.md,JE_md,5815EN-3_maintenance_rag_ko.md,.md,5744,13e4d98ce57ae5892a80d93f68d79b4c5de60a78d9819aaa8d292726362d0e5d,False,,FlexLink X65 Conveyor System 유지보수·장애대응 가이드,MAINTENANCE,11,3207,88,True,False
JE_md\Banner_VE_Series_Smart_Camera_RAG_압축문서_ko.md,JE_md,Banner_VE_Series_Smart_Camera_RAG_압축문서_ko.md,.md,12506,0ccdb99476ba5a543441f90f1bd54ed8ed58e0fe064e9b3333b2deb36db767d7,False,,Banner VE Series Smart Camera 운영 가이드,MANUAL,13,8434,166,True,False
JE_md\CCS_LDR2-LA_RAG_압축문서_ko.md,JE_md,CCS_LDR2-LA_RAG_압축문서_ko.md,.md,11363,94f1dfa7677b677c042d94e705270c87a2ea60a040f14d625c276600caf1c47b,False,,CCS LDR2-LA Series 저각도 링 조명 운영 가이드,MANUAL,13,6759,144,True,False
JE_md\CCS_LDR2_RAG_압축문서_ko.md,JE_md,CCS_LDR2_RAG_압축문서_ko.md,.md,11497,368dd27b548f358bea6236d1b11ffdedfb7f764536a29c25d522743418b47c2a,False,,CCS LDR2 Series 링 조명 운영 가이드,MANUAL,13,6911,147,True,False
JE_md\Cognex_In-Sight_2800_RAG_압축문서_ko.md,JE_md,Cognex_In-Sight_2800_RAG_압축문서_ko.md,.md,11989,ed442b4ed8aa0b450225bbcf0f79879d38a12c323470844b25bd0b466015d68b,False,,Cognex In-Sight 2800 Series 비전 시스템 운영 가이드,MANUAL,13,8804,165,True,False
JE_md\FlexLink_X65_misalignment_rag_ko.md,JE_md,FlexLink_X65_misalignment_rag_ko.md,.md,6390,80884a9d336e40b414170322cda24b375801490a7ab1c7ee840f32d1cf74fb17,False,,FlexLink X65 제품 쏠림·정렬 불량 대응 가이드,TROUBLESHOOTING,13,3469,86,True,False
JE_md\ifm_O2D50x_O2D52x_RAG_압축문서_ko.md,JE_md,ifm_O2D50x_O2D52x_RAG_압축문서_ko.md,.md,19563,4a3edfeed24a65d07e07fc3d971454fd9d5126f499c8b7de687dd8c18334f984,False,,ifm O2D50x/O2D52x 객체 인식 센서 운영 가이드,MAINTENANCE,12,15314,167,True,False
JE_md\Interroll_RollerDrive_EC5000_RAG_압축문서_ko.md,JE_md,Interroll_RollerDrive_EC5000_RAG_압축문서_ko.md,.md,12748,43a481a88ee3a5f4a5d894c7a1f1c0cc14f4c552132e8212a07ea1c85941fa9a,False,,Interroll RollerDrive EC5000 운영 가이드,MANUAL,13,9039,162,True,False
JE_md\Moxa_EDS-205A_EDS-208A_Series_RAG_압축문서_ko.md,JE_md,Moxa_EDS-205A_EDS-208A_Series_RAG_압축문서_ko.md,.md,17210,ee1b9b068433d1adff8d3f80d74ea90fd73ab5d9693cbbd97274ca00dac8edaf,False,,Moxa EDS-205A/EDS-208A 산업용 이더넷 스위치 운영 가이드,MANUAL,12,12980,151,True,False
JE_md\OMRON_FH_FHV_Vision_System_RAG_압축문서_ko.md,JE_md,OMRON_FH_FHV_Vision_System_RAG_압축문서_ko.md,.md,12675,6210c3dcab5bf01827b904c227a325a1ff70126b04d970a88012a08f20260452,False,,OMRON FH/FHV Vision System 운영 가이드,MANUAL,13,8546,167,True,False
JE_md\OMRON_FQ2-S_CH_RAG_압축문서_ko.md,JE_md,OMRON_FQ2-S_CH_RAG_압축문서_ko.md,.md,16647,59da34461c32ea76108e305ce657908954c2431f422de2716615d2e0b8929b21,False,,OMRON FQ2-S/CH Smart Camera 운영 가이드,MANUAL,13,11845,198,True,False
JE_md\SICK_InspectorP62x_RAG_압축문서_ko.md,JE_md,SICK_InspectorP62x_RAG_압축문서_ko.md,.md,26666,90da667e80e14b7565b1f9b56ec17a4775002051a7ef8d2a6c502dd42815dfb0,False,,SICK InspectorP62x 2D 비전 검사 운영 가이드,MAINTENANCE,12,21119,207,True,False
JE_md\SICK_WL12-3P2432S01_RAG_압축문서_ko.md,JE_md,SICK_WL12-3P2432S01_RAG_압축문서_ko.md,.md,13091,dab772c04f267f052193a7b3f91ac3ce29f2dc206fbbc0c460bd16feb9e8c173,False,,SICK WL12-3P2432S01 광전 센서 운영 가이드,MAINTENANCE,12,9801,133,True,False
JE_md\SmartVisionLights_L300G2_RAG_압축문서_ko.md,JE_md,SmartVisionLights_L300G2_RAG_압축문서_ko.md,.md,27357,9da473b364e4ad20cb87c97bd006418a69d6cb370703ef8b257d665bab55877c,False,,Smart Vision Lights L300G2 조명 운영 가이드,MANUAL,12,20376,185,True,False
SK_md\01_main_manuals\Heatmap_AnomalyMap_해석가이드_v1.md,SK_md,Heatmap_AnomalyMap_해석가이드_v1.md,.md,15437,25880a7254c3ea3034c57529114a3ad21a68e77b793383dff2e9dbb172d1138d,False,,Heatmap / Anomaly Map 해석 가이드,INSPECTION_GUIDE,15,8415,224,True,False
SK_md\01_main_manuals\MVTecAD_검사데이터셋_카테고리개요_v1.md,SK_md,MVTecAD_검사데이터셋_카테고리개요_v1.md,.md,19444,a4230bbd1932de78bb2e0b1854014e0ac3c0349ca6575264c5795a52a06a891d,False,,MVTec AD 검사 데이터셋 카테고리 개요,MANUAL,23,10450,309,True,False
SK_md\01_main_manuals\Object_계열_결함해석가이드_v1.md,SK_md,Object_계열_결함해석가이드_v1.md,.md,16223,501a748b4b4f504476b06a3a4cc518a8e4421b5acd4b8f08986248a77f573e20,False,,Object 계열 결함 해석 가이드,INSPECTION_GUIDE,22,8681,238,True,False
SK_md\01_main_manuals\Object_카테고리별_결함판정기준서_v1.md,SK_md,Object_카테고리별_결함판정기준서_v1.md,.md,21439,9d62da24c0dbe2a1081ff55f34abb7c1b0a9330f164440b7aabde89ccdc459bf,False,,Object 카테고리별 결함 판정 기준서,INSPECTION_GUIDE,27,11251,314,True,False
SK_md\01_main_manuals\Texture_계열_결함해석가이드_v1.md,SK_md,Texture_계열_결함해석가이드_v1.md,.md,16424,8f2afe1f506f904837dc25f292f6f5c23a982f2044b97423c3628b807d67dfa1,False,,Texture 계열 결함 해석 가이드,INSPECTION_GUIDE,21,8756,238,True,False
SK_md\01_main_manuals\Texture_카테고리별_결함판정기준서_v1.md,SK_md,Texture_카테고리별_결함판정기준서_v1.md,.md,21634,2509e145b34400e35014f70daa4500bed7b08588469e016134ee5cb4a0213789,False,,Texture 카테고리별 결함 판정 기준서,INSPECTION_GUIDE,31,11336,322,True,False
SK_md\01_main_manuals\이상감지_작업자대응절차_SOP_v1.md,SK_md,이상감지_작업자대응절차_SOP_v1.md,.md,16159,645b1702bcd1421b58a533a2c0cac71cc8709a86f3b72e299514222384c5fef5,False,,이상 감지 작업자 대응 절차 SOP,SOP,22,8571,253,True,False
SK_md\01_main_manuals\정상_재검사_불량_판정기준서_v1.md,SK_md,정상_재검사_불량_판정기준서_v1.md,.md,16002,d88b7b6a51330895299555d23671b8835a5ba041c74df932ce3ac476891ebca1,False,,정상 / 재검사 / 불량 판정 기준서,INSPECTION_STANDARD,17,8624,236,True,False
SK_md\03_support_docs\모델버전_및_임계값_변경이력관리_v1.md,SK_md,모델버전_및_임계값_변경이력관리_v1.md,.md,16684,e4d03d89dcc4214d7cf32e2555ec05efc322d5a93a97bcb9998215a5fc1ad69e,False,,모델 버전 및 임계값 변경 이력 관리 가이드,OPERATION_GUIDE,15,9097,263,True,False
